Tipo,Ejercicio,Pecho-Pectoral Superior,Pecho-Pectoral Medio,Pecho-Pectoral Inferior,Hombro-Deltoides Anterior,Hombro-Deltoides Medio,Hombro-Deltoides Posterior,Brazo-Tricep,Brazo-Bicep,Brazo-Antebrazo,ESPALDA-DORSAL,ESPALDA-REDONDO,ESPALDA-SACROLUMBAR,ESPALDA-TRAPECIO,PIERNA-GLÚTEO,PIERNA-CUÁDRICEPS,PIERNA-FEMORAL,PIERNA-GEMELO,TORSO-SERRATO,TORSO-OBLICUO,TORSO-ABDOMEN SUPERIOR,TORSO-ABDOMEN INFERIOR
Auxiliar,"Abdomen-Extensión de piernas en el suelo, pies bajos",,,,,,,,,,,,,,,1,,,,2,2,2
Auxiliar,"Abdomen-Extensión de piernas en el suelo, pies altos",,,,,,,,,,,,,,,2,,,,2,3,3
Auxiliar,Abdomen-Flexión lateral del tronco con mancuerna,,,,,,,,,,,,,,,,,,,3,2,2
Auxiliar,Abdomen-Flexión lateral del tronco en polea baja,,,,,,,,,,,,,,,,,,,3,2,2
Auxiliar,Abdomen-Flexión lateral del tronco en polea alta,,,,,,,,,,,,,,,,,,,3,2,2
Auxiliar,Abdomen-Flexión lateral del tronco en banca,,,,,,,,,,,,,,,,,,,3,3,3
Auxiliar,Abdomen-Flexión lateral del tronco en el suelo,,,,,,,,,,,,,,,,,,,3,3,3
Auxiliar,"Abdomen-Contracción del abdomen, vacuum",,,,,,,,,,,,,,,,,,,,3,3
Auxiliar,Abdomen-Semielevación de tronco en suelo,,,,,,,,,,,,,,,1,,,,2,3,2
Auxiliar,"Abdomen-Abdominales isométricos o planks, frontales",,,,1,1,1,,,,,,,,2,,,,,2,3,3
Auxiliar,Abdomen-Abdominales isométricos laterales,,,,1,1,1,,,,,,,,2,,,,,3,2,2
